WKT,ID,Date,Extent_km,Cer
"POINT (32.2523643011119 1.55341888662038)","48","1967",433.33,"100"
"POINT (21.8387482110263 -18.363483661354)","49","1967",5.21,"75"
"POINT (32.25 -26.91667)","50","1967",1.845,"50"
"POINT (32.25 -26.91667)","51","1967",1.845,"50"
"POINT (36.075 0.633333)","52","1967",10.95,"75"
"POINT (10.1366886359744 3.79651288702)","53","1966",3.42,"100"
"POINT (-9.61074311929899 7.06974035034314)","54","1964",18.53,"75"
"POINT (-0.349053475874268 5.81982082749919)","55","1964",2.87,"100"
"POINT (-11.73636101971 7.95659592395053)","56","1963",5.28,"75"
"POINT (-11.73636101971 7.95659592395053)","57","1963",5.28,"75"
"POINT (-11.73636101971 7.95659592395053)","58","1963",5.28,"50"
"POINT (-11.73636101971 7.95659592395053)","59","1963",5.28,"75"
"POINT (-11.73636101971 7.95659592395053)","60","1963",5.28,"75"
"POINT (-11.73636101971 7.95659592395053)","61","1963",5.28,"75"
"POINT (-1.20439517243727 7.94181967023595)","62","1962",369.22,"100"
"POINT (-1.20439517243727 7.94181967023595)","63","1962",369.22,"100"
"POINT (-1.20439517243727 7.94181967023595)","64","1962",369.22,"100"
"POINT (27.8096183827241 -13.4534312946211)","65","1962",714.01,"100"
"POINT (27.8096183827241 -13.4534312946211)","66","1962",714.01,"100"
"POINT (27.8096183827241 -13.4534312946211)","67","1962",714.01,"100"
"POINT (27.8096183827241 -13.4534312946211)","68","1962",714.01,"100"
"POINT (33.4485315009112 -0.737695520431681)","69","1961",298.28,"100"
"POINT (-14.2363939887104 14.2442688842477)","70","1961",324.34,"100"
"POINT (46.0655437561551 -20.9852725977125)","71","1961",1008.51,"100"
"POINT (33.4485315009112 -0.737695520431681)","72","1961",307.34,"100"
"POINT (29.50584014949 -6.16719478048475)","73","1961",330.22,"100"
"POINT (46.0655437561551 -20.9852725977125)","74","1961",1008.51,"100"
"POINT (-0.349053475874268 5.81982082749919)","75","1961",2.87,"100"
"POINT (8.81757679103541 5.18168146568485)","76","1959",435.46,"100"
"POINT (9.84349316981182 10.3078000190381)","77","1958",1.87,"100"
"POINT (37.9645823322984 0.549448185730421)","78","1958",598.62,"100"
"POINT (29.8501497288595 9.31899038002737)","79","1957",1009.92,"100"
"POINT (29.9601551318269 -19.0231602727879)","80","1957",395.25,"100"
"POINT (13.4153934913897 -12.5894317763077)","81","1957",6.35,"100"
"POINT (25.9229262890578 -2.94826822001501)","82","1956",5.12,"100"
"POINT (32.2523643011119 1.55341888662038)","83","1954",433.33,"75"
"POINT (33.4485315009112 -0.737695520431681)","84","1954",294.28,"100"
"POINT (-12.5 7.5)","85","1954",0.301,"50"
"POINT (-11.5 8.5)","86","1954",0.301,"50"
"POINT (29.1883063449161 -5.911662110818)","87","1953",5.93,"75"
"POINT (29.190324022958 -5.91205671928885)","88","1953",5.93,"75"
"POINT (29.1873142882131 -5.91141037970728)","89","1953",5.93,"75"
"POINT (29.1873142882131 -5.91141037970728)","90","1953",5.93,"75"
"POINT (29.1873142882131 -5.91141037970728)","91","1950",5.93,"75"
"POINT (29.1873142882131 -5.91141037970728)","92","1950",5.93,"75"
"POINT (29.1873142882131 -5.91141037970728)","93","1950",5.93,"75"
"POINT (29.1873142882131 -5.91141037970728)","94","1950",5.93,"75"
"POINT (29.1873142882131 -5.91141037970728)","95","1950",5.93,"75"
"POINT (-12.1535853322062 7.31154741847739)","96","1950",43.96,"100"
"POINT (32.7261776640256 12.8596054660569)","97","1949",31.75,"75"
"POINT (34.5 -12)","98","1949",370.12,"100"
"POINT (34.5 -12)","99","1949",370.12,"100"
"POINT (35.3536371640818 -15.4250051751543)","100","1948",6.22,"75"
"POINT (31.5716901864026 4.86000223267614)","101","1948",7.66,"100"
"POINT (31.5716901864026 4.86000223267614)","102","1948",7.66,"100"
"POINT (33.9928565057707 18.025255673428)","103","1948",2.9,"100"
"POINT (30.198470483748 7.52361121779114)","104","1948",618.41,"100"
"POINT (30.198470483748 7.52361121779114)","105","1948",618.41,"100"
"POINT (-6.26299435816373 13.4503794217529)","106","1947",2.935,"75"
"POINT (31.7675490188581 5.18049088933056)","107","1946",2.89,"75"
"POINT (30.198470483748 7.52361121779114)","108","1946",618.41,"100"
"POINT (30.198470483748 7.52361121779114)","109","1945",618.41,"100"
"POINT (39.733333 -9.883333)","110","1939",9.03325,"75"
"POINT (-10.7443962976922 6.29660447871974)","111","1937",10.17,"100"
"POINT (37.9645823322984 0.549448185730421)","112","1936",598.62,"100"
"POINT (17.6723606810072 -12.1426191781067)","113","1936",834.39,"100"
"POINT (17.6723606810072 -12.1426191781067)","114","1936",834.39,"100"
"POINT (35.9922673002576 3.70809837193351)","115","1935",1.99,"100"
"POINT (7.69969884745297 9.64508007446945)","116","1934",1.04,"100"
"POINT (25.1421983610345 2.35650734290165)","117","1934",2443.9,"100"
"POINT (-14.2363939887104 14.2442688842477)","118","1934",324.34,"100"
"POINT (-14.2363939887104 14.2442688842477)","119","1934",324.34,"100"
"POINT (-1.66519282259997 17.790966880064)","120","1934",1161.4,"100"
"POINT (-14.2363939887104 14.2442688842477)","121","1934",324.34,"100"
"POINT (-1.66519282259997 17.790966880064)","122","1934",1161.4,"100"
"POINT (-1.66519282259997 17.790966880064)","123","1934",1161.4,"100"
"POINT (8.12008510753735 5.88124904479145)","124","1933",1.63,"75"
"POINT (36.0040717073798 3.70794265747746)","125","1932",162.05,"75"
"POINT (31.03333 -22.68333)","126","1932",4.54,"75"
"POINT (31.3 -22.41667)","127","1932",7.175,"50"
"POINT (35.9530193964953 -16.8500427455939)","128","1931",1086.65,"100"
"POINT (32.2934438733773 1.55369285849101)","129","1931",433.33,"100"
"POINT (47.2330848805181 -17.4080721303332)","130","1931",17.29,"75"
"POINT (30.9833163642376 1.78846178450641)","131","1931",97.6,"100"
"POINT (-14.7693459474228 13.5363491117307)","132","1931",1.955,"75"
"POINT (-14.7693459474228 13.5363491117307)","133","1931",1.955,"75"
"POINT (24.5944083174136 -30.6385334625264)","134","1930",1137.68,"100"
"POINT (23.7820159568321 -22.25662859876)","135","1930",605.74,"100"
"POINT (23.7820159568321 -22.25662859876)","136","1930",605.74,"100"
"POINT (23.7820159568321 -22.25662859876)","137","1930",605.74,"100"
"POINT (33.95 -9.55)","138","1930",4.85056,"75"
"POINT (-14.0520419412703 13.4989072300769)","139","1929",28.08,"75"
"POINT (32.7920350428206 0.005779434149023)","140","1929",5.82,"100"
"POINT (31.8738156373835 -16.6650076807883)","141","1928",506.14,"100"
"POINT (29.6827754903375 -4.911124339049)","142","1927",0.9,"75"
"POINT (29.6827303435343 -4.91111060699035)","143","1927",0.9,"75"
"POINT (35.2536675387721 -14.4856675704574)","144","1926",2.29,"100"
"POINT (6.63048532649351 6.66642790111627)","145","1926",0.51,"75"
"POINT (46.0655437561551 -20.9852725977125)","146","1924",1008.51,"100"
"POINT (31.05 -7.516667)","147","1922",6.30541,"75"
"POINT (29.9447420857486 26.4764984377786)","148","1920",732.32,"100"
"POINT (29.1873142882131 -5.91141037970728)","149","1919",5.93,"75"
"POINT (44.92372 -19.72623)","150","1915",2.412,"75"
"POINT (44.87849 -20.68594)","151","1915",40.592,"50"
"POINT (44.87849 -20.68594)","152","1915",40.592,"50"
"POINT (46.82967 -16.94852)","153","1915",1.997,"75"
"POINT (3.53758010091297 15.4973639148486)","154","1913",2191.37,"75"
"POINT (46.0655437561551 -20.9852725977125)","155","1912",1008.51,"100"
"POINT (30.8963243511262 29.2589592814419)","156","1911",0.6,"75"
"POINT (31.95 -25.43333)","157","1911",9.15,"75"
"POINT (31.95 -25.43333)","158","1911",9.15,"75"
"POINT (31.95 -25.43333)","159","1911",9.15,"75"
"POINT (31.95 -25.43333)","160","1911",9.15,"75"
"POINT (32.2523643011119 1.55341888662038)","161","1910",433.33,"75"
"POINT (32.2523643011119 1.55341888662038)","162","1910",433.33,"100"
"POINT (31.3972 2.9694)","163","1910",1.33,"75"
"POINT (31.4 2.97)","164","1910",1.33,"75"
"POINT (44.0015391867253 9.00074543300549)","165","1909",2100.19,"75"
"POINT (38.04622 -3.02086)","166","1909",62.9173,"75"
"POINT (29.9447420857486 26.4764984377786)","167","1909",732.32,"100"
"POINT (-9.32747562101103 6.28397984098522)","168","1908",283.64,"100"
"POINT (30.6461279586471 -28.9190812237504)","169","1908",319.31,"75"
"POINT (14.452896462788 13.1342158961248)","170","1907",37.9,"100"
"POINT (14.452896462788 13.1342158961248)","171","1906",37.9,"100"
"POINT (32.866825 -26.9016)","172","1906",1.34,"50"
"POINT (46.7261594984146 -16.0642703630935)","173","1906",1.755,"75"
"POINT (32.866825 -26.9016)","174","1905",1.34,"50"
"POINT (37.1583515235411 -0.71141580776386)","175","1904",0.7,"75"
"POINT (-0.188318364650814 5.60521206102275)","176","1904",8.88,"100"
"POINT (-1.33333 7.96667)","177","1903",397.603,"100"
"POINT (1.53639131608594 17.8389879321332)","178","1902",1192.38,"100"
"POINT (32.2523643011119 1.55341888662038)","179","1901",433.33,"100"
"POINT (31.0279150313045 9.2800062693293)","180","1900",5.75,"100"
"POINT (30.198470483748 7.52361121779114)","181","1900",618.41,"100"
"POINT (-9.41667 6.46667)","182","1900",317.607,"100"
"POINT (9.69859153864995 17.4779981169545)","183","1899",997.79,"100"
"POINT (45.3214 -19.26482)","184","1899",66.567,"50"
"POINT (23.67951899714 -2.69308759434963)","185","1898",1356.27,"100"
"POINT (31.3689695017032 21.8005800622534)","186","1897",5.91,"100"
"POINT (34.3758013839911 -13.5783707053942)","187","1897",411.57,"100"
"POINT (34.3758013839911 -13.5783707053942)","188","1897",411.57,"100"
"POINT (-10.65 6.4906)","189","1897",0.63,"75"
"POINT (-10.65 6.4906)","190","1897",0.63,"75"
"POINT (-10.65 6.4906)","191","1897",0.63,"75"
"POINT (-10.65 6.4906)","192","1897",0.63,"75"
"POINT (-10.65 6.4906)","193","1897",0.63,"100"
"POINT (-10.65 6.4906)","194","1897",0.63,"100"
"POINT (-10.65 6.4906)","195","1897",0.63,"75"
"POINT (46.0655437561551 -20.9852725977125)","196","1894",1008.51,"100"
"POINT (23.67951899714 -2.69308759434963)","197","1886",1356.27,"100"
"POINT (-3.31033978606305 5.13776806846934)","198","1885",4.41,"75"
"POINT (31.8738156373835 -16.6650076807883)","199","1885",506.14,"100"
"POINT (-3.31033978606305 5.13776806846934)","200","1885",4.41,"75"
"POINT (-3.31033978606305 5.13776806846934)","201","1885",4.41,"75"
"POINT (46.0655437561551 -20.9852725977125)","202","1882",1008.51,"100"
"POINT (46.0655437561551 -20.9852725977125)","203","1876",1008.51,"100"
"POINT (55.4636612340983 -4.63419290656915)","204","1876",16.72,"75"
"POINT (46.0655437561551 -20.9852725977125)","205","1874",1008.51,"100"
"POINT (29.9447420857486 26.4764984377786)","206","1871",732.32,"100"
"POINT (1.03376333204392 8.68387511443106)","207","1870",302.83,"75"
"POINT (33.0835377749546 19.5466013896802)","208","1865",2100.19,"75"
"POINT (13.0842595929813 14.7700001663396)","209","1865",2191.37,"75"
"POINT (33.0835377749546 19.5466013896802)","210","1865",2100.19,"100"
"POINT (3.53758010091297 15.4973639148486)","211","1865",2191.37,"75"
"POINT (3.37535063084415 6.52284682828159)","212","1865",4.7,"75"
"POINT (33.6064780127675 -16.1327542226868)","213","1864",6.55,"100"
"POINT (15.5942156576863 -9.65015000955219)","214","1864",5.08,"100"
"POINT (-2.29659972628971 15.1096782435315)","215","1864",1762.09,"75"
"POINT (3.53758010091297 15.4973639148486)","216","1864",2191.37,"75"
"POINT (51.2536823660088 -21.2294243049858)","217","1863",546,"75"
"POINT (33.0835377749546 19.5466013896802)","218","1862",2100.19,"75"
"POINT (30.97307940499 -29.8624164678566)","219","1862",10.47,"75"
"POINT (8.31882823621367 4.96309935931497)","220","1862",1.04,"75"
"POINT (8.31921447431042 4.96185947945951)","221","1862",806.17,"100"
"POINT (8.31878532086959 4.96177397041809)","222","1862",0.91,"100"
"POINT (-14.2363939887104 14.2442688842477)","223","1860",324.34,"100"
"POINT (-14.2363939887104 14.2442688842477)","224","1860",324.34,"100"
"POINT (46.0655437561551 -20.9852725977125)","225","1855",1008.51,"100"
"POINT (29.9447420857486 26.4764984377786)","226","1851",732.32,"100"
"POINT (32.715967046854 26.1557582392421)","227","1850",0.93,"100"
"POINT (23.0024522877402 6.35440139900947)","228","1845",4865.12,"75"
"POINT (24.5944083174136 -30.6385334625264)","229","1845",1137.68,"100"
"POINT (16.5691223404335 14.273423835274)","230","1844",3212.59,"75"
"POINT (24.5944083174136 -30.6385334625264)","231","1840",1137.68,"100"
"POINT (39.5728158873702 8.68665780525148)","232","1835",926.69,"100"
"POINT (40.338031 9.071802)","233","1832",825.839,"50"
